№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
6216,7307 СЕ от 27.02.23г до 27.02.33г бланк №000436,Участок Южный Сары-Камыш-2 Южной площади Ташкумырского каменноугольного месторождения ,"ОсОО ""Бренд Коул""","Джалал-Абадская область, Ноокенский район",№ 5 от 1604.2025г до 27.02.2033г.,Каменный уголь ,ЕР,"2,4 га ",К-43-97,протокол №13-Н-2023 от 22.02.2023г ЛС №4 Протокол № 02-Н-2025 от 17.01.2025г.  Протокол №17-Н-2025 от 26.03.2025г,"КР. г.Бишкек Октябрьский р-н,мкр.12,63/3,12","гр.КР Турдукулов  С.А.-45%, Овазбек Адилет Овазбекович - 45%, Ыманаалиев Нурбек Ымааналиевич - 10%", 1290045950003035            ОКПО 30976553 от 21.07.2021г. 1290045950003035           ОКПО 30976553 от 21.07.20321г.   1290525950003043             ОКПО 30976553 от 23.05.2023г,1611 с   6366 с  6127 с,,РСК Банк 1290525030000580 ОКПО 30976553 от 01.03.2023г ,ИНН 00402202110207;,18 точек ,18 точек ,Кыргызстан,СЕ,Овазбек Адилет Овазбекович,,Земли ГЛФ ( Кочкор-Атинскийлесхоз),,Бенефициар,,,,,,
6217,7308 МЕ от 14.10.14г 14.03.2023г до 30.12.2042г бланк №000445,"месторождение ""Нурлау""","ОсОО ""Баткен Тоо Кен""","Баткенская область, Баткенский район",№2 от  28.04.2025г до 30.12.2042г ,Сурьма и золото,ЕП,"174,5 га",J-42-10,протокол №56-Н-2022 от 30.12.2022г  Протокол №21-Н-2025 от 16.04.2025г,"Баткенская область, Баткенский район с.Самаркандек  ","гр. КР Жороев А. А. -10%,Бакиров Р. И.-3%,Балтаев Н. Ж.-11%Каныбеков Э. К.-10%,Полевая И. В.-5%, АО ""Фонтелуна""-50%,Харитонов Д.Е.6%,Качанов А.Л.-5%",нет,нет,,нет,ИНН 02703201410022,14 точек ,14 точек ,Кыргызстан,МЕ,Гайнанов Тимур Сулейманович ,0700-229904,"Дара а/а, Ак-Сай а/а",,Бенефициары ,,,,,,
6218,7309 СР от 14.03.2023г до 14.02.2027г  бланк №000449,Участок Тюлек месторождения Кок-Янгак,"ГП ""Кыргызкомур""","Джалал-Абадская область, Сузакский район ",№ 1 от 14.03.2023г до 14.03.2025г  ,Каменный уголь ,РП,108 га ,К-43-111,РКМ КР №96-р от 06.03.2023г ,"г.Бишкек, ул. Ахунбаева,119",Государственное предприятие ,,,,Айыл Банк 1350130020012795  ОКПО 27932051  28.03.2023г ,ИНН 02808201210151;,4540090  4540044  4539950  4539800  4539700  4538310  4537483   4537964,13345920  13346760  13346730  13346610  13346500  13346420  13346606  13346125,Кыргызстан,Аннулирована.протокол № 31-Н-2025 от 2.07.2025г,Орозбаев М.Т.,,,,В деле нет Бенеф.,,,,,,
6219,7310 СЕ от 14.03.2023г до 14.02.2043г  бланк №000450,Участок Тюлек месторождения Кок-Янгак,"ГП ""Кыргызкомур""","Джалал-Абадская область, Сузакский район ",№1  от 14.03.23г до 14.03.25г  ,Каменный уголь ,ЕП,925 га ,К-43-111,распоряжение Каб.Мин.КР №96-р от 06.03.2023г ,"г.Бишкек, ул. Ахунбаева,119",Государственное предприятие ,нет,нет,,1350130020012795  ОКПО Т27932051  28.03.2023г,ИНН 02808201210151,34 точки ,34 точки ,Кыргызстан,СЕ,Орозбаев М. Т.,нет,нет,,,,,,,,
6220,7311 СР от 14.03.2023г до 14.02.2027г  бланк №000451,"Месторождение ""Тегене"" ","ГП ""Кыргызкомур""","Джалал-Абадская область, Аксыйский район ",№ 1 от 14.03.2023г до 14.03.2025г  ,Каменный уголь ,РП,"721,6 га ",К-43-85,распоряжение Каб.Мин.КР №97-р от 06.03.2023г ,"г.Бишкек, ул. Ахунбаева,119",Государственное предприятие ,нет,нет,,1350130020012795  ОКПО 27932051  28.03.2023г ,ИНН 02808201210151,30 точек ,30 точек ,Кыргызстан,Аннулирована.протокол № 31-Н-2025 от 2.07.2025г,Орозбаев М.Т.,"0312-621302,0312-622081",,,В деле нет Бенеф.,,,,,,
1659,7312 СЕ пер. 14.03.2023г  от 18.11.2025г до 14.02.2043г  бланк №001156,"Месторождение ""Тегене""","ОАО ""Кыргызкомур""","Джалал-Абадская область, Аксыйский район ",№ 3  от 18.11.2025 г. до 14.02.2043 г.  Бланк №001156,Каменный уголь ,ЕП,2255га ,К-43-85,распоряжение Каб.Мин.КР №97-р от 06.03.2023г    протокол №31-Н-2025 от 02.07.2025г         Распоряжение Кабинета Министров КР №1000-т от 18.11.2025г,"г.Бишкек, Первомайский район, ул. Кулатова 24",Государственное предприятие Кабинет Министров Кыргызской Республики - 100%,ПП № 2 от 27.12.2023 г. Код ОКПО 27932051      ОАО Бакай Банк ПП № 11 от 16.04.2024 г. Код ОКПО 27932051      ОАО Бакай Банк 1240020000825516 пп. № 1 от 26.06.2024г  ,3 658 453-38 сом            2 000 000 сом        4 499 473 сом,ОАО Айыл Банк р/счет 1350130020066955,1350130020012795  ОКПО 27932051  28.03.2023г ,ИНН 00209202510219,4604770   4605762   4606724   4604840   4604119   4603963   4603207   4603210   4602946   4602893   4602441   4602461   4601879   4601686   4601924   4601715   4601706   4602020   4601779   4602826   4603981   4603994,13265008   13265623   13267766   13268567   13272707   13272632   13272000   13271983   13271762   13271737   13271359   13271327   13270889   13270269   13269635   13269480   13268864   13268677   13267558   13265642   13265500   13265248   ,Кыргызстан,СЕ,Маматов К.А.,нет,нет,,В деле нет Бенеф.,нет,нет,нет,нет,нет,нет
6222,7313 ТЕ от 13.03.23г до 13.02.43г бланк №000454,"площадь ""Ак-Сай""","ОсОО ""Эко-Ресурс Тянь-Шань""","Джалал-Абадская область, Аксыйский район ",№2 от 25.12.2024г до 15.10.2029г ,известняк- ракушечник ,ЕР,"4,3 га",К-43-97,Протокол №15-Н-2023 от 01.03.2023г. ЛС №2 протокол №75-Н-2024 от 06.12.2024г,"Джалал-Абадская область, Аксыйский район,г.Кербен,ул.Уметалиева-67 ",гр.КР  Авазбеков Тем-Учинь Нургазыевич-100%,1299235030000515№286500283 от 10.04.2023г. Код пл14151100,207623 с,,1299005950003055  №100100101  17.03.2023г,ИНН 00802201810086,13250937   13251566   13251628   13251737   13251699   13250994   ,4576190  4576079  4576192   4576159   4576053   4575991,Кыргызстан,ТЕ,Авазбеков Т.Н.,507746266; 550352522,Аксыйский р-н,,,,,,,,
6223,7314 ТЕ от 13.03.23г до 13.02.43г бланк №000455,"участок ""Перевальный""","ОсОО ""Нур Тейит""","Ошская область, Алайский район ",№3 от 01.09.2025г до 22.10.2025г,известняк- ракушечник ,ЕП,"14,13 га",К-43-97,Протокол №15-Н-2023 от 01.03.2023г ЛС №2 протокол №21-Н-24 от 08.04.24г;                      Протокол № 39-Н-2024 от 13.08.2025г,"Ошская область, г.Ош,мкр.Анар,д.12,кв.35","гр.КР Аматова Ш.Б.-20%,Жолонов К.О.-30%, Жолонов М.К.-10%, Атыкулов У.М.-10%,Муратов А.С.-20%, гр.КНР Манате Ибулайин-10%",1296675030000537№273700100 от 11.04.2023г. Код пл 14151200,1416204 с,,1299005950003055  №367100053  16.03.2023г,ИНН 00810201310138;,11 точек ,11 точек,Кыргызстан/КНР,ТЕ,Аматова Ш.Б.,,Алайский р-н,,В деле нет Бенеф.,нет,нет,нет,нет,нет,нет
6224,7315 АЕ от 23.03.2023г до 23.03.2043г бланк №000456,"месторождение ""Талды-Булак""","ГП ""Кыргызгеология""","Таласская область, Таласский район ",№4 от 15.08.2025г до 31.12.2027г,Золото и медь,ЕП,"178,6 га",К-43-50,"Распоряжение Каб.Мин.КР от 15.03.2023г №106-р №2 Л/С Протокол №40-Н-2024 от 24.06.2024г., Протокол №13-Н-2025 от 05.03.2025г;             Протокол № 37-Н-2025 от 06.08.2025г","г.Бишкек, бульвар Эркиндик, д.2;",Кабинет Министров КР,1299003230432748 ОКПО 01436478 24.04.23г,124879470 сом/289832-27 сом/,,1030120000653568   ОКПО 01436478   25.03.2023г,ИНН 03006199710064,13316010   13315780   13316750   13317295   13317340   13316820   ,4714825   4715950   4716325  4715790   4715120   4714790,Кыргызстан,АЕ,Токтобаев Акыл Токтобаевич ,0312-300654,Аралский а/а,,В деле нет Бенеф.,нет,нет,нет,нет,нет,нет
6225,7316 АР от 23.03.2023г до 23.03.2027г бланк №000457,"площадь ""Талды-Булак""","ГП ""Кыргызгеология""","Таласская область, Таласский район ",№2 от 04.103.2025г до 23.03.2027г,Золото и медь,РР,"3315,4 га",К-43-50,Распоряжение Каб.Мин.КР от 15.03.2023г №106-р. Пртокол №08-Н-2025 от 14.02.2025г,"г.Бишкек, бульвар Эркиндик,д.2;",Кабинет Министров КР,нет,нет,,1030120000653568   ОКПО 01436478   25.03.2023г,ИНН 03006199710064,13315005  13314990   13319575   13320000   13321815   13321840   ,4713055   4719000   4718906   4716000   4715870   4712790,Кыргызстан,АР,Муратов Элеман Назарович,0312-300654,нет,,В деле нет Бенеф.,,,,,,
6226,7317 НЕ от 23.03.2023г до 23.02.2043г бланк №000458,месторождение Джельтмесс,"ОсОО ""Зафар Тоо""","Джалал-Абадская область, Аксыйский район ",№1 от 23.03.23г до 23.02.43г ,Нефть и газ ,ЕП,3136 га,К-42-108,протокол №18-Н-2023 от 15.03.2023г ,"г.Бишкек,ул. Панфилова,д.188/1,кв.58","гр. КНР Хань, Сицзинь - 100% ",1290045030000572 №291800060 05.04.2023г,1173089 сом/ 130344 сом  ,"ОАО Айыл Банк р/счет 1350130020035027 остаток на 07.11.2025г 60 000,00 сом",1299005950003055  №317800039,ИНН 02804201510030;,12749988   12742616   12743652   12744709   12745688   12749963,4570210   4563637   4562831   4562795   4562413   4562525,гр. КНР ,НЕ,Хань Сицзинь,0505-007006,,,,,,,,,
6227,7318 ТЕ от 28.03.23г до 28.03.43г бланк №000463,"месторождение ""Бультекс""","ОсОО ""Кыргызкенчи""","Чуйская область, Московский район",№1 от 28.03.23г до 28.03.25г,глинистые сланцы,Е,"21,2",К-43-53,Распоряжение Каб.Мин.КР,"г.Бишкек, пр.Чуй,д.106;","ОАО ""Кыргызиндустрия""-100%",,,,1299005950005378   код 14222710  30.03.2023г ,ИНН 01310202210245;,13418175   13418605   13418670  13418380   13418185   13418095,4714575   4714505   4714075   4714070   4714220   4714470,Кыргызстан,Аннулирована.Протокол №19-Н-2024 от 03.04.2024г ,,,,,Бенефициары ,1.Касымкулов Ондобек          2.Мансуров Ысмали ,гр.КР ,директор ,Баткенская обл Кадамжайский р-н с. Орозбекова ул.Орозбекова 173,1.80%            2.20%                 ,3/15/2021
6228,7319 ТЕ пер.29.03.23г от 15.08.2023г до 28.02.2043г бланк №000087,"участок ""Коморчек""","ОсОО ""Фирма ЗЕНИТ"" (ZENIT)","Чуйская область, Кеминский район",№ 4 от 29.03.2024г до 28.02.2043г ,гипс ,ЕР,"3,95 га ",К-42-67,Протокол №21-Н-2023 от 24.03.2023г ЛС №4 протокол №16-Н-2024 от 20.03.2024г ,"г.Бишкек, Ленинский р-н,ул. Калык-Акиева,д. 95;",гр.ГР Туголбаев Акыл Орозбекович-50%; гр. КР Ибрагимов Тимур Сергеевич-50%,1240020000810156  ОКПО 28781171  04.05.2023г ,11807 с,,1290045030000572  №315600029  18.05.2023г ,ИНН 02010199510123,4713895  4714023  4713957  4713886  4713816  4713802,13557353  13557618  13557656  13557643  13557539  13557386,Кыргызстан,ТЕ,Кошоева П.Д.,0770-582-205,Кара-Булакский а/а,,,нет,нет,нет,нет,нет,нет
6229,7320 АЕ от 05.04.23г до 05.04.43г бланк №000478,"участок ""Малый Джульбарс""  ""Кызылташской"" площади","ОсОО ""ЭКСКОМ""","Баткенская область, Кадамжайский район",№2 от 28.04.2025г до 31.12.25г,золото,ЕП,1 га ,К-42-143,Протокол №16-Н-2023 от 06.03.23г     Протокол №21-Н-2025 от 16.04.2025г,"Баткенская область, Кадамжайский район, с.Кулду,ул.Садовая,д.14","гр.КР Касымкулов О.-40%, гр.РК Кулмурзин К.С.-40%, гр.КР Халилов Зайлабидин-20%",нет,нет,,нет ,ИНН 02907201310028;,12710660  12710800   12710840  12710690  ,4451370   4451460   4451410   4451320,Кыргызстан/Казахстан,АЕ,Касымкулов Ондобек ,"0(552,709)555-530","Алгинский,Халмионский айылный аймак ",,Бенефициар,,,,,,
